Stock ticker,Stock name,Last price of stock,Stock change,Stock percentage change,Volume
HBAN,Huntington Bancshares Incorporated,14.57,+0.10,+0.69%,11.206M
PARA,Paramount Global,20.0,+0.11,+0.55%,11.009M
CSX,CSX Corporation,32.45,+0.05,+0.15%,10.988M
KO,The Coca-Cola Company,62.01,-0.12,-0.19%,10.758M
QS,QuantumScape Corporation,7.21,+0.55,+8.26%,10.708M
EURN,Euronav NV,13.31,-0.19,-1.41%,10.708M
TEVA,Teva Pharmaceutical Industries Limited,11.15,+0.16,+1.46%,10.508M
BTG,B2Gold Corp.,3.92,0.0000,0.00%,10.344M
SCHW,The Charles Schwab Corporation,83.42,-2.20,-2.57%,10.135M
CVS,CVS Health Corporation,89.75,-0.90,-0.99%,9.988M
GE,General Electric Company,77.69,+2.42,+3.22%,10.075M
TFC,Truist Financial Corporation,46.37,+0.37,+0.80%,10.041M
MPW,Medical Properties Trust Inc.,12.92,+0.43,+3.44%,9.966M
